crsp_fundno,date,mtna,mret,mnav,ticker,tm
29873,30apr2002,1205.8,-.0388967,27.18,"TVAFX",2002m4
29873,31may2002,1194.7,-.0058867,27.02,"TVAFX",2002m5
29873,28jun2002,1061.3,-.0854922,24.71,"TVAFX",2002m6
29873,31jul2002,899.9,-.0898422,22.49,"TVAFX",2002m7
29873,30aug2002,897,.0013339,22.52,"TVAFX",2002m8
29873,30sep2002,810.5,-.0794849,20.73,"TVAFX",2002m9
29873,31oct2002,835.8,.0622287,22.02,"TVAFX",2002m10
29873,29nov2002,864.1,.0449591,23.01,"TVAFX",2002m11
29873,31dec2002,796.3,-.0617123,21.59,"TVAFX",2002m12
29873,31jan2003,776,-.0101899,21.37,"TVAFX",2003m1
29873,28feb2003,742.9,-.0219934,20.9,"TVAFX",2003m2
29873,31mar2003,741.2,.0177033,21.27,"TVAFX",2003m3
29873,30apr2003,803.7,.0982605,23.36,"TVAFX",2003m4
29873,30may2003,888,.0787671,25.2,"TVAFX",2003m5
29873,30jun2003,936.3,.0246032,25.78,"TVAFX",2003m6
29873,31jul2003,964.5,.0139643,26.14,"TVAFX",2003m7
29873,29aug2003,999.7,.0179801,26.61,"TVAFX",2003m8
29873,30sep2003,994.1,-.0120256,26.29,"TVAFX",2003m9
29873,31oct2003,1027.1,.0528718,27.68,"TVAFX",2003m10
29873,28nov2003,1051.3,.0090318,27.93,"TVAFX",2003m11
29873,31dec2003,1107.5,.0418904,29.1,"TVAFX",2003m12
29873,30jan2004,1165.3,.0254296,29.84,"TVAFX",2004m1
29873,27feb2004,1189.8,.0043566,29.97,"TVAFX",2004m2
29873,31mar2004,1184.8,-.0073407,29.7,"TVAFX",2004m3
29873,30apr2004,1148.6,-.0380471,28.57,"TVAFX",2004m4
29873,28may2004,1155.5,.0021001,28.63,"TVAFX",2004m5
29873,30jun2004,1156.6,.0122249,28.94,"TVAFX",2004m6
29873,30jul2004,1156.6,-.0397374,27.79,"TVAFX",2004m7
29873,31aug2004,1075.3,.0007197,27.81,"TVAFX",2004m8
29873,30sep2004,1084.4,.0141891,28.11,"TVAFX",2004m9
29873,29oct2004,1089.9,.022412,28.74,"TVAFX",2004m10
29873,30nov2004,1112.7,.0358386,29.77,"TVAFX",2004m11
29873,31dec2004,1138.2,.0412832,30.88,"TVAFX",2004m12
29873,31jan2005,1101.5,-.0236399,30.15,"TVAFX",2005m1
29873,28feb2005,1100.6,.0172471,30.67,"TVAFX",2005m2
29873,31mar2005,1070.8,-.0097815,30.32,"TVAFX",2005m3
29873,29apr2005,1026.3,-.0323219,29.34,"TVAFX",2005m4
29873,31may2005,1057.2,.0408998,30.54,"TVAFX",2005m5
29873,30jun2005,1055.7,.0193189,31.08,"TVAFX",2005m6
29873,29jul2005,1095.1,.0415058,32.37,"TVAFX",2005m7
29873,31aug2005,1090.2,-.0046339,32.22,"TVAFX",2005m8
29873,30sep2005,971,.0195531,32.79,"TVAFX",2005m9
29873,31oct2005,951.4,-.0155535,32.28,"TVAFX",2005m10
29873,30nov2005,990.8,.0405824,33.59,"TVAFX",2005m11
29873,30dec2005,979.7,.0017118,33.58,"TVAFX",2005m12
29873,31jan2006,1019.2,.0422871,35,"TVAFX",2006m1
29873,28feb2006,1016.6,-.0005714,34.98,"TVAFX",2006m2
29873,31mar2006,1039.1,.0251536,35.81,"TVAFX",2006m3
29873,28apr2006,1058.7,.0181514,36.46,"TVAFX",2006m4
29873,31may2006,1025.2,-.0331871,35.25,"TVAFX",2006m5
29873,30jun2006,1038.8,.0037352,35.33,"TVAFX",2006m6
29873,31jul2006,1047.8,.0084914,35.63,"TVAFX",2006m7
29873,31aug2006,1072.8,.0238563,36.48,"TVAFX",2006m8
29873,29sep2006,1120.7,.0342807,37.59,"TVAFX",2006m9
29873,31oct2006,1200.9,.0417664,39.16,"TVAFX",2006m10
29873,30nov2006,1299.8,.0342389,39.19,"TVAFX",2006m11
